,close-1,open-1,high-1,low-1,estimated-transaction-volume-usd-1,n-transactions-1,hash-rate-1,difficulty-1,cost-per-transaction-1,Gold price-1,output-volume-0,trade-volume-1,USD-CNY Price-1,SVI-0,Wikiviews-0
2020-12-11,-216.2976000000017,-303.7092709999997,-268.5314729999991,-325.2144479999988,-963291577.3041558,-8914.0,7618458.613614932,0.0,3.1793200439522664,-7.800000000000182,1421781.0179218298,-113696510.6331,0.001000000000000334,18.57471264367816,4726
2020-12-12,778.9901650000029,-214.0,656.3100000000013,442.7144479999988,-984178057.4261689,-9325.0,-5713843.960211188,0.0,-0.0033469473502591995,252.2165532879817,1419960.290203357,27712876.824800044,0.18540985259891674,18.57471264367816,3069
2020-12-13,354.36915299999964,777.295094000001,468.22999999999956,699.0,1520624637.8773913,-19250.0,22758542.986312106,-12486824777.179688,16.152081477748347,0.0,1658116.086538404,-116965046.65440005,0.0,26.0,3218
2020-12-14,111.45980599999893,353.7675519999975,-64.62795900000128,272.6899999999987,-764421969.2396264,38190.0,-13888738.715997458,-474499341532.8203,-11.830665030747681,-264.01655328798165,2076030.481568836,22218900.5352,-0.1819098525989169,18.57471264367816,4281
2020-12-15,166.519221999999,111.45887900000162,213.82997299999988,50.19000000000233,422871270.95606565,6090.0,-4640495.565343514,0.0,-1.7494869531361061,-8.799999999999955,2160315.239577205,-40839852.08520001,-0.009199999999999875,18.57471264367816,4125
2020-12-16,1938.4666700000016,166.51947999999902,2007.2579860000005,249.52000000000044,1119928234.8206897,-5223.0,2784297.3392061293,0.0,4.972945304889642,5.7999999999999545,2709597.598903124,132490372.05620003,-0.00649999999999995,18.57471264367816,7848
2020-12-17,1458.672584,1938.2935980000002,2184.7999999999993,1960.9478600000002,1311506905.5622392,-5736.0,-12993387.582961798,0.0,9.354692419740587,-6.099999999999909,2503111.831562404,423711291.2606,-0.00020000000000042206,18.57471264367816,13679
2020-12-18,306.3199999999997,1447.6453970000002,-470.7999999999993,1097.9121399999967,636408320.8820477,66068.0,25986775.16592355,0.0,-0.050784099270657634,-11.5,2435931.47522933,465092025.64699984,0.0026999999999999247,18.57471264367816,9212
2020-12-19,720.0213509999994,317.52000000000044,892.0,438.7400000000016,-3407717240.608907,-32013.0,928099.11306867,0.0,3.9155878228836656,284.61655328798156,1665126.049369939,-711734418.7967999,0.19510985259891722,18.57471264367816,5659
2020-12-20,-383.3213509999987,720.5091939999984,125.70000000000073,310.5,-332552046.68507814,-61493.0,-6496693.791480869,0.0,9.842803681290889,0.0,1323039.9195182463,-37408520.7234,0.0,26.0,5682
