Date,Price,Open,High,Low,Vol.,Change %
6-Feb-09,"1,815.75","1,816.40","1,818.10","1,815.15",-,-0.18%
9-Feb-09,"1,819.00","1,823.50","1,831.50","1,816.80",25.16K,-0.27%
10-Feb-09,"1,823.90","1,828.00","1,830.50","1,814.30",86.51K,-0.32%
11-Feb-09,"1,829.80","1,823.70","1,830.40","1,816.90",45.50K,0.48%
12-Feb-09,"1,821.00","1,803.70","1,825.50","1,802.30",40.67K,1.09%
13-Feb-09,"1,801.30","1,798.00","1,804.40","1,792.00",39.84K,0.08%
17-Feb-09,"1,799.90","1,793.00","1,800.70","1,783.80",71.89K,0.47%
18-Feb-09,"1,791.50","1,813.50","1,813.70","1,788.00",33.20K,-1.97%
19-Feb-09,"1,827.50","1,817.00","1,832.60","1,811.60",10.32K,0.58%
20-Feb-09,"1,817.00","1,804.50","1,819.50","1,800.60",10.86K,0.81%
23-Feb-09,"1,802.40","1,832.90","1,835.40","1,800.50",9.97K,-1.56%
24-Feb-09,"1,831.00","1,819.10","1,833.60","1,818.00",5.23K,0.79%
25-Feb-09,"1,816.60","1,807.40","1,820.30","1,798.80",6.52K,0.46%
26-Feb-09,"1,808.20","1,809.80","1,810.00","1,791.90",3.24K,-0.28%
27-Feb-09,"1,813.30","1,814.90","1,823.60","1,808.00",2.64K,0.12%
2-Mar-09,"1,811.10","1,809.00","1,816.80","1,806.00",2.57K,0.06%
3-Mar-09,"1,810.10","1,810.10","1,810.10","1,810.10",-,-0.21%
4-Mar-09,"1,814.00","1,806.90","1,814.20","1,801.60",2.46K,0.52%
5-Mar-09,"1,804.60","1,791.80","1,808.10","1,788.60",1.60K,0.75%
6-Mar-09,"1,791.10","1,794.30","1,803.60","1,787.60",4.59K,-0.32%
9-Mar-09,"1,796.90","1,802.40","1,805.50","1,791.40",3.80K,-0.58%
10-Mar-09,"1,807.30","1,803.70","1,818.00","1,799.30",8.37K,0.37%
11-Mar-09,"1,800.70","1,781.20","1,803.10","1,778.40",7.25K,1.91%
12-Mar-09,"1,766.90","1,774.30","1,783.30","1,755.40",1.84K,-0.44%
13-Mar-09,"1,774.70","1,790.00","1,791.40","1,768.60",6.65K,-0.89%
16-Mar-09,"1,790.60","1,786.60","1,794.20","1,784.60",5.02K,0.20%
17-Mar-09,"1,787.00","1,779.10","1,793.10","1,772.90",6.46K,0.46%
18-Mar-09,"1,778.90","1,786.40","1,790.40","1,775.40",5.16K,-0.49%
19-Mar-09,"1,787.60","1,788.10","1,796.20","1,782.60",2.70K,0.04%
20-Mar-09,"1,786.80","1,782.10","1,791.20","1,774.50",5.25K,0.30%
23-Mar-09,"1,781.50","1,790.00","1,790.10","1,778.70",2.89K,-0.24%
24-Mar-09,"1,785.80","1,772.50","1,789.60","1,768.50",6.77K,1.20%
25-Mar-09,"1,764.70","1,786.10","1,786.90","1,764.20",5.57K,-1.21%
26-Mar-09,"1,786.30","1,778.40","1,796.20","1,775.70",4.08K,0.45%
27-Mar-09,"1,778.30","1,788.80","1,813.10","1,773.20",3.42K,-0.49%
30-Mar-09,"1,787.10","1,792.40","1,803.00","1,784.00",3.17K,-0.16%
31-Mar-09,"1,789.90","1,791.30","1,820.80","1,785.30",6.66K,-0.14%
1-Apr-09,"1,792.40","1,789.80","1,795.30","1,787.75",-,0.20%
2-Apr-09,"1,788.80","1,793.90","1,800.10","1,782.40",4.60K,0.04%
3-Apr-09,"1,788.10","1,813.30","1,816.40","1,786.60",6.13K,-1.26%
6-Apr-09,"1,811.00","1,852.50","1,853.70","1,807.40",10.12K,-2.43%
7-Apr-09,"1,856.10","1,865.30","1,872.10","1,849.20",3.85K,-0.51%
8-Apr-09,"1,865.70","1,874.60","1,875.80","1,861.00",3.74K,-0.46%
9-Apr-09,"1,874.40","1,855.90","1,874.60","1,855.90",2.28K,0.87%
13-Apr-09,"1,858.30","1,868.40","1,882.50","1,855.50",3.77K,-0.67%
14-Apr-09,"1,870.80","1,875.60","1,876.30","1,862.90",11.81K,-0.07%
15-Apr-09,"1,872.20","1,867.30","1,875.00","1,851.90",1.98K,0.24%
16-Apr-09,"1,867.70","1,854.00","1,872.10","1,849.40",5.09K,0.85%
17-Apr-09,"1,852.00","1,837.20","1,872.10","1,826.80",8.35K,0.95%
20-Apr-09,"1,834.50","1,827.80","1,838.40","1,825.60",6.16K,0.15%
21-Apr-09,"1,831.80","1,823.00","1,831.80","1,818.00",4.62K,0.62%
22-Apr-09,"1,820.60","1,799.20","1,823.00","1,789.20",4.13K,1.31%
23-Apr-09,"1,797.10","1,781.90","1,803.20","1,774.60",3.73K,1.67%
24-Apr-09,"1,767.50","1,787.00","1,789.20","1,762.80",2.37K,-1.42%
27-Apr-09,"1,793.00","1,796.40","1,801.10","1,791.50",1.08K,-0.36%
28-Apr-09,"1,799.50","1,784.40","1,801.00","1,784.30",3.43K,0.67%
29-Apr-09,"1,787.60","1,804.80","1,805.90","1,776.20",0.98K,-1.04%
30-Apr-09,"1,806.40","1,800.60","1,814.10","1,797.20",2.32K,0.21%
1-May-09,"1,802.60","1,797.60","1,804.00","1,788.60",0.84K,0.31%
4-May-09,"1,797.10","1,810.60","1,810.60","1,788.00",0.73K,-0.73%
5-May-09,"1,810.40","1,798.70","1,814.60","1,798.70",0.95K,0.58%
6-May-09,"1,800.00","1,790.50","1,818.60","1,787.80",1.39K,0.82%
7-May-09,"1,785.40","1,785.80","1,792.50","1,780.40",0.46K,-0.17%
8-May-09,"1,788.40","1,776.30","1,791.70","1,775.70",2.19K,0.81%
11-May-09,"1,774.10","1,767.70","1,789.40","1,767.70",0.63K,0.27%
12-May-09,"1,769.30","1,771.00","1,775.00","1,763.90",1.24K,-0.15%
13-May-09,"1,771.90","1,800.70","1,800.70","1,770.10",0.98K,-1.64%
14-May-09,"1,801.50","1,797.00","1,804.50","1,793.10",0.91K,0.17%
15-May-09,"1,798.50","1,766.70","1,800.10","1,761.60",3.95K,2.02%
18-May-09,"1,762.90","1,755.20","1,773.00","1,755.20",3.26K,0.20%
19-May-09,"1,759.40","1,757.40","1,764.20","1,753.70",2.61K,-0.10%
20-May-09,"1,761.10","1,759.60","1,785.50","1,758.10",2.91K,-0.09%
21-May-09,"1,762.70","1,763.00","1,769.90","1,755.90",3.05K,-0.14%
22-May-09,"1,765.10","1,759.40","1,768.80","1,749.50",1.07K,0.05%
26-May-09,"1,764.20","1,769.00","1,769.00","1,752.70",1.43K,-0.36%
27-May-09,"1,770.60","1,764.50","1,774.00","1,752.00",0.75K,0.52%
28-May-09,"1,761.50","1,758.60","1,766.00","1,753.30",1.17K,0.10%
29-May-09,"1,759.70","1,732.90","1,766.00","1,727.70",3.44K,1.93%
1-Jun-09,"1,726.30","1,737.60","1,749.20","1,725.00",0.99K,-0.85%
2-Jun-09,"1,741.10","1,750.80","1,754.20","1,732.00",0.79K,-0.83%
3-Jun-09,"1,755.60","1,762.30","1,762.30","1,748.60",0.98K,0.01%
4-Jun-09,"1,755.40","1,753.00","1,761.00","1,745.50",0.84K,0.11%
5-Jun-09,"1,753.40","1,771.30","1,780.20","1,742.10",1.21K,-1.64%
8-Jun-09,"1,782.70","1,782.70","1,791.20","1,770.00",0.49K,0.04%
9-Jun-09,"1,781.90","1,770.20","1,785.80","1,765.70",0.64K,0.81%
10-Jun-09,"1,767.50","1,753.00","1,771.00","1,748.30",1.07K,0.72%
11-Jun-09,"1,754.90","1,757.40","1,771.40","1,751.00",2.34K,-0.31%
12-Jun-09,"1,760.40","1,799.00","1,799.00","1,750.00",0.66K,-2.12%
15-Jun-09,"1,798.50","1,806.30","1,810.50","1,796.00",0.39K,-0.68%
16-Jun-09,"1,810.80","1,800.00","1,814.20","1,786.60",1.16K,0.70%
17-Jun-09,"1,798.30","1,788.60","1,803.00","1,788.60",2.69K,0.13%
18-Jun-09,"1,795.90","1,807.00","1,808.00","1,795.60",0.84K,-0.44%
19-Jun-09,"1,803.90","1,794.10","1,807.00","1,789.60",1.48K,0.37%
22-Jun-09,"1,797.30","1,802.30","1,807.30","1,787.20",1.36K,-0.28%
23-Jun-09,"1,802.30","1,835.00","1,835.00","1,798.60",1.22K,-1.28%
24-Jun-09,"1,825.65","1,829.95","1,830.65","1,823.65",-,-0.24%
25-Jun-09,"1,830.05","1,832.20","1,832.50","1,829.65",-,-0.40%
26-Jun-09,"1,837.40","1,819.00","1,840.40","1,818.70",1.56K,1.22%
29-Jun-09,"1,815.20","1,817.90","1,822.60","1,811.10",1.88K,-0.26%
30-Jun-09,"1,819.90","1,820.80","1,826.00","1,816.00",1.09K,-0.12%
1-Jul-09,"1,822.10","1,817.00","1,823.10","1,808.00",0.40K,0.32%
2-Jul-09,"1,816.20","1,824.80","1,827.60","1,815.40",0.09K,-0.41%
6-Jul-09,"1,823.60","1,800.90","1,825.20","1,793.70",0.41K,1.35%
7-Jul-09,"1,799.30","1,792.30","1,803.00","1,787.20",0.47K,0.24%
8-Jul-09,"1,795.00","1,807.60","1,807.60","1,789.00",0.11K,-0.97%
9-Jul-09,"1,812.50","1,810.00","1,813.60","1,807.00",0.72K,0.12%
10-Jul-09,"1,810.30","1,783.70","1,811.70","1,783.70",0.75K,1.25%
13-Jul-09,"1,788.00","1,792.20","1,793.90","1,786.00",0.73K,0.05%
14-Jul-09,"1,787.10","1,789.10","1,797.60","1,779.00",0.69K,-0.07%
15-Jul-09,"1,788.40","1,793.90","1,798.50","1,783.90",0.71K,-0.19%
16-Jul-09,"1,791.80","1,791.90","1,800.80","1,786.80",1.70K,-0.13%
17-Jul-09,"1,794.10","1,784.90","1,794.90","1,780.00",0.34K,0.66%
20-Jul-09,"1,782.40","1,761.30","1,785.50","1,761.30",0.84K,1.50%
21-Jul-09,"1,756.10","1,756.70","1,763.70","1,748.90",1.80K,-0.09%
22-Jul-09,"1,757.70","1,737.00","1,760.00","1,735.40",1.48K,1.26%
23-Jul-09,"1,735.90","1,737.10","1,742.80","1,726.20",3.34K,0.29%
24-Jul-09,"1,730.80","1,762.80","1,763.20","1,682.40",3.10K,-2.06%
27-Jul-09,"1,767.20","1,805.20","1,808.00","1,764.50",2.08K,-2.52%
28-Jul-09,"1,812.80","1,816.30","1,819.40","1,804.50",0.36K,-0.30%
29-Jul-09,"1,818.20","1,821.00","1,839.60","1,813.40",1.09K,0.02%
30-Jul-09,"1,817.90","1,817.60","1,819.40","1,814.90",0.40K,-0.44%
31-Jul-09,"1,825.90","1,816.20","1,826.80","1,813.30",0.57K,0.28%
3-Aug-09,"1,820.80","1,835.70","1,836.90","1,818.00",0.91K,-1.01%
4-Aug-09,"1,839.40","1,820.00","1,840.70","1,820.00",0.73K,1.73%
5-Aug-09,"1,808.10","1,813.80","1,813.90","1,803.70",2.46K,0.04%
6-Aug-09,"1,807.30","1,806.40","1,811.90","1,803.10",0.92K,0.02%
7-Aug-09,"1,806.90","1,818.90","1,818.90","1,805.20",0.09K,-0.13%
10-Aug-09,"1,809.30","1,810.00","1,810.20","1,799.90",0.31K,-0.20%
11-Aug-09,"1,812.90","1,806.20","1,813.80","1,800.70",0.07K,0.10%
12-Aug-09,"1,811.00","1,811.90","1,812.70","1,802.60",0.21K,-0.43%
13-Aug-09,"1,818.90","1,824.80","1,831.00","1,817.00",0.23K,0.11%
14-Aug-09,"1,816.90","1,821.50","1,823.30","1,807.10",0.08K,-0.33%
17-Aug-09,"1,823.00","1,835.70","1,835.70","1,822.50",0.27K,-0.76%
18-Aug-09,"1,836.90","1,833.10","1,841.10","1,833.10",0.10K,0.21%
19-Aug-09,"1,833.00","1,830.00","1,836.80","1,828.80",1.63K,0.83%
20-Aug-09,"1,817.90","1,822.50","1,825.10","1,814.00",1.20K,0.23%
21-Aug-09,"1,813.80","1,817.30","1,817.30","1,802.00",0.98K,-0.26%
24-Aug-09,"1,818.60","1,805.80","1,818.90","1,805.80",1.33K,0.59%
25-Aug-09,"1,807.90","1,825.00","1,825.00","1,802.50",1.14K,-0.09%
26-Aug-09,"1,809.60","1,811.00","1,812.80","1,809.80",0.36K,0.43%
27-Aug-09,"1,801.80","1,795.20","1,821.50","1,794.10",0.43K,0.59%
28-Aug-09,"1,791.30","1,786.50","1,794.65","1,784.75",-,0.27%
31-Aug-09,"1,786.40","1,788.00","1,788.00","1,785.80",-,-0.26%
1-Sep-09,"1,791.00","1,790.30","1,800.00","1,789.60",0.68K,0.38%
2-Sep-09,"1,784.30","1,785.20","1,785.20","1,782.60",0.51K,0.28%
3-Sep-09,"1,779.30","1,764.00","1,771.20","1,764.00",0.19K,0.47%
4-Sep-09,"1,771.00","1,778.00","1,778.00","1,758.80",0.38K,-0.97%
8-Sep-09,"1,788.30","1,783.30","1,783.30","1,783.30",0.02K,0.16%
9-Sep-09,"1,785.50","1,793.00","1,793.00","1,788.10",0.22K,0.06%
10-Sep-09,"1,784.40","1,792.80","1,792.80","1,782.50",0.00K,-0.37%
11-Sep-09,"1,791.10","1,790.90","1,800.00","1,790.90",0.01K,0.34%
14-Sep-09,"1,785.00","1,792.80","1,792.80","1,785.00",0.04K,-0.31%
15-Sep-09,"1,790.50","1,777.80","1,791.50","1,777.80",0.24K,0.79%
16-Sep-09,"1,776.50","1,786.70","1,800.40","1,781.00",0.25K,-0.31%
17-Sep-09,"1,782.00","1,830.90","1,830.90","1,779.10",0.42K,-4.64%
18-Sep-09,"1,868.70","1,863.20","1,871.20","1,816.40",0.30K,0.27%
21-Sep-09,"1,863.70","1,875.20","1,875.20","1,861.50",0.06K,-0.51%
22-Sep-09,"1,873.20","1,875.00","1,875.20","1,858.60",0.10K,-0.73%
23-Sep-09,"1,886.90","1,898.80","1,898.80","1,885.70",0.03K,-0.89%
24-Sep-09,"1,903.80","1,896.70","1,896.70","1,885.50",0.04K,0.05%
25-Sep-09,"1,902.90","1,901.00","1,901.70","1,901.00",0.02K,0.06%
28-Sep-09,"1,901.80","1,905.70","1,911.70","1,900.70",0.03K,-0.23%
29-Sep-09,"1,906.10","1,895.30","1,895.30","1,895.30",0.12K,0.36%
30-Sep-09,"1,899.20","1,879.90","1,896.50","1,879.30",0.12K,0.99%
1-Oct-09,"1,880.50","1,913.50","1,913.70","1,875.80",0.33K,-1.91%
2-Oct-09,"1,917.20","1,904.30","1,916.10","1,903.80",0.28K,0.25%
5-Oct-09,"1,912.50","1,919.30","1,919.30","1,909.40",0.21K,0.07%
6-Oct-09,"1,911.15","1,906.80","1,913.40","1,904.85",-,0.23%
7-Oct-09,"1,906.75","1,907.60","1,907.90","1,906.10",-,-0.33%
8-Oct-09,"1,913.10","1,908.90","1,909.20","1,896.00",0.18K,0.34%
9-Oct-09,"1,906.70","1,907.00","1,909.60","1,897.70",0.02K,-0.23%
12-Oct-09,"1,911.10","1,917.50","1,922.40","1,904.70",0.05K,0.18%
13-Oct-09,"1,907.70","1,887.50","1,910.00","1,887.50",0.04K,0.72%
14-Oct-09,"1,894.00","1,891.70","1,894.60","1,891.70",0.02K,0.42%
15-Oct-09,"1,886.00","1,888.60","1,895.10","1,882.00",0.04K,-0.26%
16-Oct-09,"1,891.00","1,883.50","1,889.70","1,877.40",0.01K,0.02%
19-Oct-09,"1,890.70","1,876.70","1,898.00","1,861.80",0.12K,0.71%
20-Oct-09,"1,877.30","1,879.70","1,879.70","1,878.60",0.03K,0.03%
21-Oct-09,"1,876.70","1,854.50","1,876.10","1,854.50",0.64K,1.55%
22-Oct-09,"1,848.10","1,834.60","1,849.20","1,834.50",0.09K,0.77%
23-Oct-09,"1,833.90","1,824.00","1,835.30","1,818.00",0.01K,0.08%
26-Oct-09,"1,832.40","1,842.40","1,842.70","1,822.00",0.01K,-0.72%
27-Oct-09,"1,845.70","1,845.20","1,845.20","1,845.00",0.01K,-0.09%
28-Oct-09,"1,847.40","1,844.00","1,849.10","1,843.90",0.09K,0.34%
29-Oct-09,"1,841.20","1,830.50","1,851.00","1,828.50",0.16K,0.86%
30-Oct-09,"1,825.50","1,823.60","1,824.30","1,823.40",0.17K,1.73%
2-Nov-09,"1,794.50","1,789.10","1,789.10","1,789.10",0.16K,0.45%
3-Nov-09,"1,786.40","1,790.80","1,806.70","1,784.20",0.16K,-0.82%
4-Nov-09,"1,801.20","1,783.00","1,783.00","1,783.00",0.07K,1.36%
5-Nov-09,"1,777.10","1,775.60","1,779.20","1,773.70",0.00K,-0.03%
6-Nov-09,"1,777.60","1,770.10","1,780.00","1,770.10",0.01K,-0.33%
9-Nov-09,"1,783.50","1,775.40","1,775.90","1,775.40",0.01K,-0.27%
10-Nov-09,"1,788.40","1,789.00","1,789.00","1,785.80",0.01K,-0.07%
11-Nov-09,"1,789.60","1,789.60","1,789.60","1,789.60",0.02K,0.13%
12-Nov-09,"1,787.20","1,789.70","1,789.70","1,782.00",0.02K,-0.25%
13-Nov-09,"1,791.70","1,803.20","1,803.40","1,794.50",0.03K,-0.62%
16-Nov-09,"1,802.90","1,790.00","1,790.10","1,790.00",0.02K,0.83%
17-Nov-09,"1,788.10","1,787.80","1,787.80","1,787.80",0.00K,0.44%
18-Nov-09,"1,780.30","1,780.10","1,783.00","1,780.10",0.00K,-0.53%
19-Nov-09,"1,789.70","1,784.70","1,784.70","1,784.70",0.00K,0.75%
20-Nov-09,"1,776.40","1,776.00","1,776.00","1,776.00",0.00K,1.75%
23-Nov-09,"1,745.80","1,755.00","1,755.60","1,745.80",0.03K,-0.63%
24-Nov-09,"1,756.90","1,733.10","1,754.60","1,733.10",0.02K,0.86%
25-Nov-09,"1,742.00","1,740.40","1,740.40","1,740.40",0.01K,-0.68%
27-Nov-09,"1,754.00","1,755.10","1,756.20","1,755.10",0.01K,-0.75%
30-Nov-09,"1,767.30","1,757.30","1,760.20","1,757.30",0.00K,0.97%
1-Dec-09,"1,750.30","1,751.50","1,751.50","1,742.40",0.02K,-0.09%
2-Dec-09,"1,751.80","1,738.10","1,748.50","1,738.00",0.05K,0.81%
3-Dec-09,"1,737.70","1,737.20","1,737.20","1,737.20",0.01K,0.05%
4-Dec-09,"1,736.80","1,732.00","1,739.90","1,732.00",0.00K,0.75%
7-Dec-09,"1,723.90","1,688.40","1,723.10","1,688.40",0.02K,1.75%
8-Dec-09,"1,694.30","1,700.00","1,700.00","1,693.50",0.02K,-1.68%
9-Dec-09,"1,723.30","1,732.80","1,732.80","1,720.00",0.00K,-1.14%
10-Dec-09,"1,743.20","1,732.50","1,740.50","1,728.10",0.00K,0.41%
11-Dec-09,"1,736.10","1,745.10","1,745.10","1,745.10",0.01K,-0.46%
14-Dec-09,"1,744.20","1,742.40","1,742.40","1,742.20",0.00K,0.44%
15-Dec-09,"1,736.50","1,738.00","1,738.00","1,734.30",0.01K,-0.74%
16-Dec-09,"1,749.40","1,746.50","1,746.50","1,736.80",0.00K,-0.18%
17-Dec-09,"1,752.60","1,752.40","1,752.40","1,742.10",0.11K,0.52%
18-Dec-09,"1,743.50","1,744.70","1,744.70","1,744.70",0.00K,0.35%
21-Dec-09,"1,737.50","1,737.80","1,750.40","1,737.00",0.32K,-0.25%
22-Dec-09,"1,741.80","1,748.90","1,748.90","1,748.90",0.00K,0.09%
23-Dec-09,"1,740.30","1,737.50","1,738.30","1,733.60",0.23K,0.57%
24-Dec-09,"1,730.50","1,733.50","1,733.50","1,733.50",0.01K,-0.22%
28-Dec-09,"1,734.40","1,745.70","1,745.70","1,729.10",0.00K,0.03%
29-Dec-09,"1,733.90","1,726.60","1,728.00","1,723.70",0.40K,0.23%
30-Dec-09,"1,729.90","1,720.10","1,728.60","1,720.10",0.01K,2.27%
31-Dec-09,"1,691.50","1,718.50","1,718.50","1,687.20",0.25K,-1.25%
4-Jan-10,"1,712.90","1,700.00","1,700.00","1,700.00",0.00K,-0.08%
5-Jan-10,"1,714.30","1,723.50","1,724.80","1,704.00",0.01K,-0.86%
6-Jan-10,"1,729.20","1,728.80","1,728.80","1,728.80",0.00K,-1.01%
7-Jan-10,"1,746.90","1,737.20","1,737.20","1,727.90",0.00K,0.62%
8-Jan-10,"1,736.20","1,736.50","1,736.60","1,736.50",0.00K,-0.36%
11-Jan-10,"1,742.50","1,749.50","1,750.10","1,737.10",0.02K,-2.54%
12-Jan-10,"1,787.90","1,802.10","1,802.10","1,802.10",0.00K,-1.11%
13-Jan-10,"1,808.00","1,819.70","1,819.70","1,798.80",0.01K,-0.41%
14-Jan-10,"1,815.50","1,815.80","1,815.80","1,803.80",0.02K,-0.14%
15-Jan-10,"1,818.00","1,797.00","1,819.00","1,797.00",0.00K,1.68%
19-Jan-10,"1,787.90","1,777.20","1,777.20","1,777.20",0.00K,0.13%
20-Jan-10,"1,785.60","1,789.30","1,789.30","1,789.30",0.00K,0.10%
21-Jan-10,"1,783.80","1,780.00","1,780.00","1,780.00",0.00K,-1.46%
22-Jan-10,"1,810.20","1,819.80","1,819.80","1,808.20",0.02K,-0.47%
25-Jan-10,"1,818.75","1,820.90","1,827.00","1,815.60",-,-0.13%
26-Jan-10,"1,821.05","1,822.45","1,826.30","1,820.15",-,-0.72%
27-Jan-10,"1,834.20","1,835.80","1,835.80","1,835.80",0.00K,-0.22%
28-Jan-10,"1,838.30","1,845.00","1,845.00","1,845.00",0.00K,-0.85%
29-Jan-10,"1,854.10","1,865.50","1,865.50","1,853.50",0.01K,0.28%
1-Feb-10,"1,848.90","1,859.00","1,859.00","1,859.00",0.00K,0.21%
2-Feb-10,"1,845.00","1,830.80","1,847.40","1,830.80",0.00K,1.06%
3-Feb-10,"1,825.60","1,813.00","1,823.80","1,813.00",0.11K,1.23%
4-Feb-10,"1,803.50","1,829.00","1,829.00","1,826.70",0.01K,-2.39%
5-Feb-10,"1,847.70","1,845.50","1,847.30","1,845.50",0.15K,0.11%
8-Feb-10,"1,845.70","1,871.00","1,871.00","1,854.20",0.01K,-1.52%
9-Feb-10,"1,874.10","1,864.00","1,874.20","1,864.00",0.05K,0.64%
10-Feb-10,"1,862.10","1,870.50","1,870.50","1,870.50",0.01K,0.44%
11-Feb-10,"1,853.90","1,867.00","1,867.00","1,867.00",0.00K,-0.44%
12-Feb-10,"1,862.10","1,863.60","1,863.60","1,863.60",0.01K,-0.33%
16-Feb-10,"1,868.20","1,871.10","1,871.10","1,871.10",0.01K,-0.21%
17-Feb-10,"1,872.20","1,879.20","1,879.20","1,877.80",0.00K,-0.03%
18-Feb-10,"1,872.80","1,852.90","1,869.70","1,852.90",0.04K,-0.49%
19-Feb-10,"1,882.10","1,876.50","1,879.40","1,875.70",0.01K,-0.05%
22-Feb-10,"1,883.10","1,880.30","1,880.30","1,880.30",0.01K,1.37%
23-Feb-10,"1,857.60","1,838.80","1,858.80","1,825.50",0.09K,1.14%
24-Feb-10,"1,836.60","1,809.65","1,839.45","1,809.65",-,1.48%
25-Feb-10,"1,809.75","1,826.80","1,829.10","1,803.60",-,-2.13%
26-Feb-10,"1,849.10","1,847.80","1,847.80","1,847.80",0.01K,-1.22%
1-Mar-10,"1,871.90","1,856.60","1,870.20","1,856.60",0.15K,-0.19%
2-Mar-10,"1,875.40","1,875.10","1,875.10","1,871.20",0.25K,0.55%
3-Mar-10,"1,865.10","1,862.20","1,866.00","1,858.20",0.25K,-0.38%
4-Mar-10,"1,872.30","1,848.10","1,867.80","1,848.10",0.83K,0.83%
5-Mar-10,"1,856.90","1,935.80","1,935.80","1,850.00",0.00K,-4.06%
8-Mar-10,"1,935.50","1,944.20","1,946.70","1,932.50",0.00K,0.17%
9-Mar-10,"1,932.30","1,971.70","1,971.70","1,971.70",0.01K,-2.29%
10-Mar-10,"1,977.60","1,965.30","1,975.50","1,965.30",0.00K,0.42%
11-Mar-10,"1,969.40","1,934.70","1,967.80","1,934.70",0.34K,3.57%
12-Mar-10,"1,901.60","1,901.60","1,901.60","1,901.60",-,-0.79%
15-Mar-10,"1,916.70","1,919.90","1,919.90","1,919.90",0.00K,0.11%
16-Mar-10,"1,914.50","1,913.90","1,913.90","1,913.90",0.12K,0.59%
17-Mar-10,"1,903.20","1,893.20","1,900.30","1,890.50",0.00K,0.15%
18-Mar-10,"1,900.40","1,900.80","1,912.00","1,885.80",0.15K,-0.13%
19-Mar-10,"1,902.80","1,888.90","1,897.00","1,886.90",0.08K,0.31%
22-Mar-10,"1,897.00","1,887.60","1,897.00","1,887.60",0.01K,0.41%
23-Mar-10,"1,889.20","1,898.40","1,898.40","1,898.40",0.00K,-0.62%
24-Mar-10,"1,901.00","1,889.70","1,889.70","1,889.60",0.01K,-0.30%
25-Mar-10,"1,906.80","1,902.00","1,903.50","1,902.00",0.01K,-0.05%
26-Mar-10,"1,907.80","1,907.80","1,907.90","1,904.60",0.18K,1.66%
29-Mar-10,"1,876.60","1,877.90","1,877.90","1,877.90",0.00K,0.15%
30-Mar-10,"1,873.80","1,849.00","1,871.70","1,849.00",0.01K,1.24%
31-Mar-10,"1,850.80","1,853.70","1,855.90","1,853.70",0.00K,-0.58%
1-Apr-10,"1,861.60","1,848.90","1,859.50","1,836.60",0.05K,0.33%
5-Apr-10,"1,855.40","1,866.30","1,866.30","1,866.30",0.01K,-0.03%
6-Apr-10,"1,856.00","1,883.10","1,883.10","1,844.00",0.11K,-1.94%
7-Apr-10,"1,892.70","1,877.00","1,886.60","1,874.50",0.20K,0.45%
8-Apr-10,"1,884.20","1,884.30","1,884.30","1,884.30",0.00K,1.38%
9-Apr-10,"1,858.50","1,853.70","1,853.70","1,853.70",0.00K,0.03%
12-Apr-10,"1,858.00","1,859.60","1,862.30","1,858.80",0.01K,0.57%
13-Apr-10,"1,847.50","1,848.50","1,848.50","1,848.50",0.00K,0.54%
14-Apr-10,"1,837.50","1,837.80","1,837.80","1,837.80",0.00K,2.08%
15-Apr-10,"1,800.10","1,790.00","1,790.00","1,790.00",0.00K,-0.42%
